category,category_id
food/food trucks,1
music/rock,2
technology/web,3
theater/plays,4
film & video/documentary,5
music/electric music,6
film & video/drama,7
music/indie rock,8
technology/wearables,9
publishing/nonfiction,10
film & video/animation,11
games/video games,12
film & video/shorts,13
publishing/fiction,14
photography/photography books,15
publishing/radio & podcasts,16
music/metal,17
music/jazz,18
publishing/translations,19
film & video/television,20
games/mobile games,21
music/world music,22
film & video/science fiction,23
journalism/audio,24
